time,MB,MB_err,SMB,SMB_err,D,D_err,BMB,BMB_err
1977,-16.995860,127.565675,430.804755,102.819040,422.484945,73.953745,25.315670,15.236195
1978,29.773780,127.099570,485.533585,100.081905,431.000760,76.903675,24.759045,14.958795
1979,-47.218590,122.991130,410.438120,94.570040,433.514515,77.253710,24.142560,14.670445
1980,-112.890504,124.091568,346.170852,95.513922,434.224962,77.786346,24.836394,15.004536
1981,-220.551980,121.970590,238.927905,94.037505,434.414605,76.193750,25.065280,15.109540
1982,-144.361150,118.622810,314.424505,89.031895,434.771575,77.013540,24.014445,14.613140
1983,199.678360,120.539790,648.499515,93.222460,426.055010,75.103495,22.766145,14.102505
1984,71.392692,123.739110,521.320152,97.367346,425.581506,74.918370,24.345954,14.773224
1985,-90.657970,127.174030,364.672230,101.210850,429.654640,75.443675,25.675195,15.423440
1986,51.375085,78.733036,520.576882,46.851922,448.544125,41.930363,20.657715,5.291483
1987,-48.879646,91.566262,422.429172,38.018629,448.440563,40.878367,22.868255,5.467809
1988,-106.585182,79.866685,354.293344,31.886404,438.613727,39.482462,22.264798,5.422476
1989,-164.666794,75.089411,299.074902,26.916747,441.366871,40.174059,22.374824,5.437692
1990,-136.640395,83.567084,329.673539,29.670622,443.916266,41.374528,22.397659,5.419650
1991,-75.640145,87.497704,388.649066,34.978422,441.834301,40.863529,22.454906,5.451795
1992,88.130347,77.106579,551.984254,49.678577,444.777250,41.015561,19.076668,5.175368
1993,-89.946710,85.392996,375.554798,33.799939,444.058809,40.781020,21.442685,5.322525
1994,-113.375312,72.908903,347.068659,31.236183,439.502038,40.256375,20.941940,5.299588
1995,-211.661997,76.046707,238.106962,21.429620,427.307824,39.061894,22.461152,5.424642
1996,132.838084,83.850453,583.959379,52.556338,430.450554,39.206940,20.670738,5.289315
1997,8.296517,80.075226,457.282601,41.155430,427.350303,38.701853,21.635781,5.362347
1998,-240.883428,81.539107,211.190066,19.007110,428.699444,38.854822,23.374062,5.497852
1999,-45.825461,84.958779,410.212411,36.919120,433.961096,38.914864,22.076791,5.420844
2000,-76.238055,77.506164,383.314097,34.498259,437.368344,39.332459,22.183797,5.445971
2001,-25.064284,84.651317,427.089960,38.438090,430.789158,38.613329,21.365115,5.311742
2002,-141.190685,82.896082,325.728245,29.315541,444.417326,39.881653,22.501613,5.428537
2003,-165.857614,94.439562,315.996651,28.439700,458.009090,41.219249,23.845172,5.539990
2004,-164.342584,83.447189,330.575748,29.751814,471.515417,42.607988,23.402903,5.535789
2005,-166.786267,94.597416,337.215132,30.349358,480.513335,43.289641,23.488051,5.521600
2006,-238.176004,76.241751,258.270879,23.244380,474.132803,42.937400,22.314090,5.435772
2007,-255.713132,94.948813,236.232698,21.260930,467.460170,42.570182,24.485667,5.643954
2008,-199.758431,96.767330,297.695693,26.792614,473.883601,43.326362,23.570544,5.531232
2009,-241.695181,84.837154,256.996387,23.129681,476.837474,44.052967,21.854107,5.379059
2010,-375.559767,93.121438,131.792658,11.861337,480.796653,44.298071,26.555773,5.815030
2011,-335.151777,93.656961,175.636759,15.807310,486.899062,45.056893,23.889483,5.566810
2012,-428.394585,109.452986,86.788136,7.810939,485.826843,45.166350,29.355867,6.220890
2013,-106.766923,88.056625,407.651480,36.688639,492.621170,45.868468,21.797243,5.369568
2014,-183.346734,93.262005,331.886459,29.869792,491.371939,45.947334,23.861267,5.555324
2015,-213.527752,95.078808,304.030049,27.362694,494.407200,46.224381,23.150602,5.512023
2016,-258.580609,101.680928,253.243989,22.791962,486.506297,45.587436,25.318321,5.708695
2017,-105.955020,90.794297,412.668788,37.140205,496.176211,46.519117,22.447601,5.428814
2018,-81.050677,82.682334,437.120942,39.340889,496.317421,46.640824,21.854191,5.394568
2019,-433.585049,99.836340,96.185531,8.656706,503.008645,47.335168,26.761940,5.858340
2020,-196.240427,89.471325,342.850313,30.856525,515.222740,48.336163,23.868009,5.593365
2021,-217.786352,88.195437,325.413457,29.287215,517.559822,48.527527,25.640000,5.822964
2022,-76.196623,90.834871,461.226890,41.510417,514.153179,48.103037,23.270332,5.520659
